site_name,address,city,state,programs,has_ot,has_pt,has_pa,latitude,longitude,geo_key
HCR Home Care,"215 Washington St, Watertown, NY",Watertown,NY,"PA, PT, OT",True,True,True,43.9734401,-75.9098496,"215 WASHINGTON ST, WATERTOWN, NY"
Healey Medical Practice,"25 Park Street, Canton, NY",Canton,NY,PA,False,False,True,44.594348,-75.1679794,"25 PARK STREET, CANTON, NY"
Health Partners Institute,"8170 33rd Ave S, Bloomington, MN 55425, Bloomington, MN",Bloomington,MN,"PT, OT",True,True,False,44.85596,-93.22915429999999,"8170 33RD AVE S, BLOOMINGTON, MN 55425, BLOOMINGTON, MN"
"Health Services of Northern New York, INC. Clinics","56 Market Street, Potsdam, NY",Potsdam,NY,OT,True,False,False,44.670875,-74.9865496,"56 MARKET STREET, POTSDAM, NY"
HealthPartners Institute,"8170 33rd Ave S, Bloomington, MN",Bloomington,MN,PA,False,False,True,44.85596,-93.22915429999999,"8170 33RD AVE S, BLOOMINGTON, MN"
HealthPro Heritage,"307 International Circle, #100, Hunt Valley, MD",Hunt Valley,MD,OT,True,False,False,39.5009529,-76.6661242,"307 INTERNATIONAL CIRCLE, #100, HUNT VALLEY, MD"
Healthquest,"1351 Route 55, LaGrangeville, NY",LaGrangeville,NY,PT,False,True,False,41.6714808,-73.7790894,"1351 ROUTE 55, LAGRANGEVILLE, NY"
Healthworks/Corning,"9768 Liberty Drive, Painted Post, NY",Painted Post,NY,PT,False,True,False,42.1648526,-77.1130949,"9768 LIBERTY DRIVE, PAINTED POST, NY"
Henry Viscardi School,"201 I.U. Willets Road, Albertson, NY",Albertson,NY,OT,True,False,False,40.7686022,-73.6581503,"201 I.U. WILLETS ROAD, ALBERTSON, NY"
Heritage Valley Health System,"701 Broad Street, Sewickley, PA",Sewickley,PA,PA,False,False,True,40.5422698,-80.17777269999999,"701 BROAD STREET, SEWICKLEY, PA"
Highland Nursing Home,"182 Highland Road, Massena, NY",Massena,NY,PT,False,True,False,44.9464677,-74.8568149,"182 HIGHLAND ROAD, MASSENA, NY"
Hills Pediatrics,"613 Courtyard Dr., Hillsborough Township, NJ",Hillsborough Township,NJ,PA,False,False,True,40.5499324,-74.6122129,"613 COURTYARD DR., HILLSBOROUGH TOWNSHIP, NJ"
Holland Hospital,"602 Michigan Ave, Holland, MI",Holland,MI,PA,False,False,True,42.774883,-86.11443179999999,"602 MICHIGAN AVE, HOLLAND, MI"
Holy Name Medical Center,"718 Teaneck Road, Teaneck, NY",Teaneck,NY,PA,False,False,True,40.8827437,-74.0102627,"718 TEANECK ROAD, TEANECK, NY"
Hope Haven,"4600 Beach Blvd, Jacksonville, FL",Jacksonville,FL,OT,True,False,False,30.2977052,-81.6194845,"4600 BEACH BLVD, JACKSONVILLE, FL"
Hopebridge Autism Therapy Center,"5859 West Talavi, Glendale, AZ",Glendale,AZ,OT,True,False,False,33.6349302,-112.1849037,"5859 WEST TALAVI, GLENDALE, AZ"
Horizon Post Acute and Rehabilitation Center,"4704 West Diana Avenue, Glendale, AZ",Glendale,AZ,"PT, OT",True,True,False,33.5638694,-112.1612063,"4704 WEST DIANA AVENUE, GLENDALE, AZ"
Horizon Rehabilitation and Sports Medicine-Hilton Head,"8 Hospital Center Blvd, Hilton Head, SC",Hilton Head,SC,PT,False,True,False,32.2202414,-80.7131572,"8 HOSPITAL CENTER BLVD, HILTON HEAD, SC"
Hornell City School District,"Railer Road, Hornell, NY",Hornell,NY,"PT, OT",True,True,False,42.3278477,-77.6611025,"RAILER ROAD, HORNELL, NY"
Howell Township Public Schools,"P.O. Box 579, Administration Building 4567 U.S. Route 9 Suite D, Howell Township, NJ",Howell Township,NJ,OT,True,False,False,40.1413148,-74.2236552,"P.O. BOX 579, ADMINISTRATION BUILDING 4567 U.S. ROUTE 9 SUITE D, HOWELL TOWNSHIP, NJ"
Hudson Headwaters Health network,"9 Carey Road, Queensbury, NY",Queensbury,NY,PA,False,False,True,43.2957638,-73.6901902,"9 CAREY ROAD, QUEENSBURY, NY"
Huggins Hospital,"240 South Main Street, Wolfboro, NH",Wolfboro,NH,PT,False,True,False,43.581944,-71.20095529999999,"240 SOUTH MAIN STREET, WOLFBORO, NH"
Hutchings Psychiatric Center,"620 Madison Street, Syracuse, NY",Syracuse,NY,OT,True,False,False,43.0456339,-76.1393336,"620 MADISON STREET, SYRACUSE, NY"
I Can Hope and Future,"13010 NE 20th St, Bellevue, WA",Bellevue,WA,OT,True,False,False,47.629081,-122.1663945,"13010 NE 20TH ST, BELLEVUE, WA"
